0000.001 (0) Opened log file at time: Fri, 26 May 2023 09:53:16 +0000 on http://ecommerce.test
0000.004 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.23.4 WP: 6.2.2 PHP: 8.2.0 (apache2handler, Windows NT SJI-GOA-65 10.0 build 22621 (Windows 11) AMD64) MySQL: 10.4.27-MariaDB (max packet size=1048576) WPLANG: en_US Server: Apache/2.4.54 (Win64) OpenSSL/1.1.1p PHP/8.2.0 safe_mode: 0 max_execution_time: 900 memory_limit: 512M (used: 105.6M | 108M) multisite: N openssl: OpenSSL 3.0.7 1 Nov 2022 mcrypt: N LANG:  ZipArchive::addFile: N
0000.006 (0) Free space on disk containing Updraft's temporary directory: 371883.2 MB
0000.011 (0) Tasks: Backup files: 1 (schedule: weekly) Backup DB: 1 (schedule: weekly)
0000.020 (0) Requesting semaphore lock (fd) (apparently not via scheduler)
0000.024 (0) Semaphore (fd, wp_options) was stuck, set lock time to 2023-05-26 09:53:16
0000.027 (0) Semaphore (fd, wp_options) reset to 1
0000.029 (0) Set semaphore last lock (fd) time to 2023-05-26 09:53:16
0000.031 (0) Semaphore lock (fd) complete
0000.039 (0) Backup run: resumption=0, nonce=168577f9f509, file_nonce=168577f9f509 begun at=1685094796 (0s ago), job type=backup
0000.045 (0) Scheduling a resumption (1) after 300 seconds (1685095096) in case this run gets aborted
0000.082 (0) Checking if we have a zip executable available
0000.087 (0) Zip engine: ZipArchive (a.k.a. php-zip) is not available or is disabled (will use PclZip (much slower) if needed)
0000.088 (0) Creation of backups of directories: beginning
0000.098 (0) Beginning creation of dump of plugins (split every: 400 MB)
0019.268 (0) Total entities for the zip file: 3372 directories, 17608 files (0 skipped as non-modified), 194.1 MB
0019.270 (0) Only one archive required (UpdraftPlus_PclZip) - will attempt to do in single operation (data: 198796.4 KB, split: 409600 KB)
0019.379 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 100 files added (on-disk size: 0 KB)
0019.436 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 200 files added (on-disk size: 0 KB)
0019.516 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 300 files added (on-disk size: 0 KB)
0019.610 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 400 files added (on-disk size: 0 KB)
0019.684 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 500 files added (on-disk size: 0 KB)
0019.757 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 600 files added (on-disk size: 0 KB)
0019.833 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 700 files added (on-disk size: 0 KB)
0019.936 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 800 files added (on-disk size: 0 KB)
0019.995 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 900 files added (on-disk size: 0 KB)
0020.058 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 1000 files added (on-disk size: 0 KB)
0020.104 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 1100 files added (on-disk size: 0 KB)
0020.151 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 1200 files added (on-disk size: 0 KB)
0020.203 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 1300 files added (on-disk size: 0 KB)
0020.254 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 1400 files added (on-disk size: 0 KB)
0020.338 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 1500 files added (on-disk size: 0 KB)
0020.397 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 1600 files added (on-disk size: 0 KB)
0020.458 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 1700 files added (on-disk size: 0 KB)
0020.512 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 1800 files added (on-disk size: 0 KB)
0020.576 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 1900 files added (on-disk size: 0 KB)
0020.633 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 2000 files added (on-disk size: 0 KB)
0020.695 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 2100 files added (on-disk size: 0 KB)
0020.745 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 2200 files added (on-disk size: 0 KB)
0020.808 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 2300 files added (on-disk size: 0 KB)
0020.851 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 2400 files added (on-disk size: 0 KB)
0020.899 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 2500 files added (on-disk size: 0 KB)
0020.947 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 2600 files added (on-disk size: 0 KB)
